TIME	BPOGX	BPOGY	BPOGV	SUBJECT	EVENT	TRIAL	GROUP	SENTENCE_ID	SENTENCE	CONDITION	STIMULUS_NAME	AUDIO	SSTIM_TL	SSTIM_TR	SSTIM_BL	SSTIM_BR	TARGET_POS	LOCATION_CUE	VERB_CUE_TIMING	VERB_CUE	TARGET_CUE_TIMING
1884.84302	0.67386	0.01008	1	0.0																	
1884.8496882063994	0.6734644284339415	0.017831319020622426	1	0.0																	
1884.8563564127985	0.6620102010387636	0.04195285825737974	1	0.0																	
1884.8630246191979	0.6738436187538673	0.03305358478759418	1	0.0																	
1884.8696928255972	0.6745036084779857	0.025247142623987955	1	0.0	START_TRIAL	0.0															
1884.8763610319963	0.6818706883294519	0.030614833777012806	1	0.0	START_TRIAL	0.0															
1884.8830292383957	0.6800740776814104	0.0139806595315022	1	0.0	START_TRIAL	0.0															
1884.889697444795	0.67983	0.01199	1	0.0	START_TRIAL	0.0															
1884.8963656511942	0.7009383076622384	0.04522333463981919	1	0.0	START_TRIAL	0.0															
1884.9030338575935	0.7291516559537947	0.039648743818499345	1	0.0	START_TRIAL	0.0															
1884.9097020639929	0.7292054567139505	0.04956413987358375	1	0.0	START_TRIAL	0.0															
1884.916370270392	0.7838847084729952	0.05981486012976589	1	0.0	START_TRIAL	0.0															
1884.9230384767914	0.7870417241443941	0.0734221305614102	1	0.0	START_TRIAL	0.0															
1884.9297066831907	0.7842571499622093	0.09264654411087181	1	0.0	START_TRIAL	0.0															
1884.9363748895898	0.7918650617044986	0.1164430186121849	1	0.0	START_TRIAL	0.0															
1884.9430430959892	0.781571145529481	0.1403440144524561	1	0.0	START_TRIAL	0.0															
1884.9497113023886	0.7803595337073663	0.14110560698811028	1	0.0	START_TRIAL	0.0															
1884.9563795087877	0.7882147936359907	0.12583032571499445	1	0.0	START_TRIAL	0.0															
1884.963047715187	0.786796882010022	0.09608099901702533	1	0.0	START_TRIAL	0.0															
1884.9697159215864	0.7868563907645604	0.09174885384420957	1	0.0	START_TRIAL	0.0															
1884.9763841279855	0.7810301648123713	0.1001844283423049	1	0.0	START_TRIAL	0.0															
1884.9830523343849	0.7719035962145359	0.11617499737114412	1	0.0	START_TRIAL	0.0															
1884.9897205407842	0.770175667369	0.12151997759252008	1	0.0	START_TRIAL	0.0															
1884.9963887471833	0.7895131251709032	0.11861002231102848	1	0.0	START_TRIAL	0.0															
1885.0030569535827	0.7893972295140023	0.074382086712495	1	0.0	START_TRIAL	0.0															
1885.009725159982	0.7918511139188101	0.0463276442892122	1	0.0	START_TRIAL	0.0															
1885.0163933663812	0.7872493715165704	0.033650133470220694	1	0.0	START_TRIAL	0.0															
1885.0230615727805	0.7875121246124549	0.028495058208159386	1	0.0	START_TRIAL	0.0															
1885.02972977918	0.7885101714055869	0.022299474562263152	1	0.0	START_TRIAL	0.0															
1885.036397985579	0.7851990710010188	0.01885110180866773	1	0.0	START_TRIAL	0.0															
1885.0430661919784	0.785363691386404	0.02598660749608541	1	0.0	START_TRIAL	0.0															
1885.0497343983777	0.7856	0.02801	1	0.0	START_TRIAL	0.0															
1885.0564026047768	0.7892776351837658	0.013616076863539127	1	0.0	START_TRIAL	0.0															
1885.0630708111762	0.7832146749014447	0.012535508072914973	1	0.0	START_TRIAL	0.0															
1885.0697390175756	0.7800612528420372	0.020927673355225405	1	0.0	START_TRIAL	0.0															
1885.0764072239747	0.7791881745763285	0.04251687423468782	1	0.0	START_TRIAL	0.0															
1885.083075430374	0.7821306861147763	0.06708157380648418	1	0.0	START_TRIAL	0.0															
1885.0897436367734	0.7831376197905838	0.07194259233692868	1	0.0	START_TRIAL	0.0															
1885.0964118431725	0.775908867655518	0.05204354415627814	1	0.0	START_TRIAL	0.0															
1885.1030800495719	0.7858131168294357	0.04506983525028159	1	0.0	START_TRIAL	0.0															
1885.1097482559712	0.7907892076463469	0.03359865109580584	1	0.0	START_TRIAL	0.0															
1885.1164164623704	0.7819590202883803	0.05359261884553948	1	0.0	START_TRIAL	0.0															
1885.1230846687697	0.745343047698016	0.04520970022933643	1	0.0	START_TRIAL	0.0															
1885.129752875169	0.7330441181655705	0.043225693585806704	1	0.0	START_TRIAL	0.0															
1885.1364210815682	0.6367322459641316	0.11495352759730776	1	0.0	START_TRIAL	0.0															
1885.1430892879675	0.554797573972597	0.19995119525602528	1	0.0	START_TRIAL	0.0															
1885.149757494367	0.539959647650459	0.21681343402017683	1	0.0	START_TRIAL	0.0															
1885.156425700766	0.4603173390414318	0.2750245230084939	1	0.0	START_TRIAL	0.0															
1885.1630939071654	0.420004031614012	0.30615049992675736	1	0.0	START_TRIAL	0.0															
1885.1697621135647	0.41583935989708837	0.3049961110794861	1	0.0	START_TRIAL	0.0															
1885.176430319964	0.42127628964574365	0.29730346926235146	1	0.0	START_TRIAL	0.0															
1885.1830985263632	0.4279233566725208	0.3199809596703019	1	0.0	START_TRIAL	0.0															
1885.1897667327626	0.42982	0.32974	1	0.0	START_TRIAL	0.0															
1885.196434939162	0.43215246958097736	0.31477002574016805	1	0.0	START_TRIAL	0.0															
1885.203103145561	0.431420775980675	0.3017347928422465	1	0.0	START_TRIAL	0.0															
1885.2097713519604	0.4295972104782238	0.29448307105708876	1	0.0	START_TRIAL	0.0															
1885.2164395583598	0.4331616381648922	0.282502436216505	1	0.0	START_TRIAL	0.0															
1885.2231077647589	0.43719129747898383	0.27671408518355417	1	0.0	START_TRIAL	0.0															
1885.2297759711582	0.4374147161159875	0.27177713668444115	1	0.0	START_TRIAL	0.0															
